Title,Author(s),Published Year,Editions,Avg. Rating,Num. of Ratings
Statistical inference for data science,['Brian Caffo'],2015,1,3.10,29
"Data Science from Scratch: The #1 Data Science Guide for Everything A Data Scientist Needs to Know: Python, Linear Algebra, Statistics, Coding, Applications, Neural Networks, and Decision Tree",['Steven Cooper'],0,2,2.64,22
Markov Models: Master Data Science and Unsupervised Machine Learning in Python,['LazyProgrammer'],0,1,3.78,23
"Learning to Love Data Science: Explorations of Emerging Technologies and Platforms for Predictive Analytics, Machine Learning, Digital Manufacturing and Supply Chain Optimization",['Mike Barlow'],2015,6,3.51,39
"Big Data Demystified: How to Use Big Data, Data Science and AI to Make Better Business Decisions and Gain Competitive Advantage",['David Stephenson'],2018,2,3.65,26
Python Data Science Cookbook,['Gopi Subramanian'],0,5,3.50,12
The Field Guide to Data Science,['Booz Allen Hamilton'],2013,2,3.61,28
Machine Learning: The Art and Science of Algorithms That Make Sense of Data,['Peter Flach'],2012,8,3.99,128
Principles of Data Science: Learn the techniques and math you need to start making sense of your data,['Sinan Ozdemir'],0,3,4.14,21
"Data Science for Beginners: This Book Includes - Machine Learning for Beginners + Python Machine Learning for Beginners - Big Data Analytics, Data Science, Data Analysis and Programming Code",['Leonard Deep'],0,2,3.25,4
Python for Data Science for Dummies,['Zanab Hussain'],2014,3,4.39,18
Introduction to Data Science: Essential Concepts,['Peters Morgan'],0,2,4.20,10
Introducing Data Science,"['Davy Cielen', 'Arno D.B. Meysman', 'Mohamed  Ali']",0,4,3.31,35
Machine Learning: An Introduction Math Guide for Beginners to Understand Data Science Through the Business Applications,['Samuel Hack'],0,1,5.00,4
Python for Beginners: The Ultimate Crash Course to Learn Python in 7 days With Step-by-Step Guidance and Hands-On Exercises (Data Science Book 1),['Andrew Park'],0,2,5.00,1
Data science interviews exposed,"['Jane You', 'Iris Wang', 'Yanping Huang']",2015,1,3.37,19
Marketing Data Science: Modeling Techniques in Predictive Analytics with R and Python,['Thomas W. Miller Jr.'],2015,3,3.79,14
Probability & Statistics for Data Science,['Ankit  Rathi'],0,2,4.15,13
Data Science from Scratch: Practical Guide with Python,['Alain Kaufmann'],0,3,3.92,12
"Machine Learning Mathematics: Study Deep Learning Through Data Science. How to Build Artificial Intelligence Through Concepts of Statistics, Algorithms, Analysis and Data Mining",['Samuel Hack'],0,3,4.11,9
